File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;JaccardLevenMatcherResult;0,17;0,055555556;0,08;140,3076923;0,668131868;0,331868132;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;156,0714286;0,743197279;0,256802721;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;SimilarityFloodingResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;SmatResult;1,00;1;1,00;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;ComaInstResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;ComaInstAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;ComaOptResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;ComaOptAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;CupidResult;1,00;0,133333333;0,24;45,875;0,218452381;0,781547619;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;CupidAdjusted;1,00;0,028571429;0,06;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;DistributionBasedResult;0,67;0,363636364;0,47;94,7;0,450952381;0,549047619;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;DistributionBasedAdjusted;0,50;0,3;0,37;108,6363636;0,517316017;0,482683983;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;JaccardLevenMatcherResult;0,83;0,192307692;0,31;83,33333333;0,396825397;0,603174603;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;156,1428571;0,743537415;0,256462585;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;SimilarityFloodingResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;SmatResult;1,00;1;1,00;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;ComaInstResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;ComaInstAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;ComaOptResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;ComaOptAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;CupidResult;1,00;0,117647059;0,21;46,625;0,22202381;0,77797619;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;CupidAdjusted;1,00;0,028571429;0,06;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;DistributionBasedResult;0,17;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;DistributionBasedAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;JaccardLevenMatcherResult;0,33;0,111111111;0,17;124,3333333;0,592063492;0,407936508;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;SimilarityFloodingResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;SmatResult;1,00;1;1,00;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;ComaInstResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;ComaInstAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;ComaOptResult;0,17;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;ComaOptAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;CupidResult;1,00;0,101694915;0,18;47,625;0,226785714;0,773214286;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;CupidAdjusted;1,00;0,028571429;0,06;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;DistributionBasedResult;0,17;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;DistributionBasedAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;JaccardLevenMatcherResult;0,17;0,066666667;0,10;140,0769231;0,667032967;0,332967033;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;SimilarityFloodingResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
