File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;SimilarityFloodingResult;1;0,030456853;0,0591133;64,875;0,308928571;0,691071429;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;SimilarityFloodingAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;SmatResult;1;1;1;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;ComaInstResult;0,666666667;0,8;0,727272727;94,1;0,448095238;0,551904762;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;ComaInstAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;ComaOptResult;0,666666667;0,8;0,727272727;94,1;0,448095238;0,551904762;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;ComaOptAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;CupidResult;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;CupidAdjusted;1;0,028571429;0,055555556;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;DistributionBasedResult;0,166666667;0,166666667;0,166666667;139,3846154;0,663736264;0,336263736;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;DistributionBasedAdjusted;0;0;0;156,3571429;0,744557823;0,255442177;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;JaccardLevenMatcherResult;0,333333333;0,166666667;0,222222222;123,8333333;0,58968254;0,41031746;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;JaccardLevenMatcherAdjusted;0,166666667;0,333333333;0,222222222;139,1538462;0,662637363;0,337362637;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;SimilarityFloodingResult;0;0;0;156,5714286;0,745578231;0,254421769;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;SimilarityFloodingAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;SmatResult;1;1;1;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;ComaInstResult;0,5;0,6;0,545454545;108,1818182;0,515151515;0,484848485;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;ComaInstAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;ComaOptResult;0,5;0,6;0,545454545;108,1818182;0,515151515;0,484848485;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;ComaOptAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;CupidResult;0,166666667;1;0,285714286;139;0,661904762;0,338095238;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;CupidAdjusted;1;0,028571429;0,055555556;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
